Company,Source / Entry point,Sector/Industry,HQ / Locations,Employee count / Size,Website,General email,Phone,LinkedIn URL,HR/People contact (name),HR contact title,HR contact email,HR mailbox (confirmed),HR contact email — inferred (pattern + basis),"CEO/Leadership (name, small cos)",Leadership email,Source(s),Relevance note,Status,All emails found (verbatim),Inferred emails (pattern + basis)
Inycom (Instrumentación y Componentes),Company registry/directory (eInforma/elEconomista/Axesor) + LinkedIn,"IT, instrumentation, industrial & health technology (IT Services)","PLA-ZA, Zaragoza — C/ Alaun 8, 50197 (also C/ Marie Curie 4)","approx 501-1,000 (LinkedIn 23K followers)",www.inycom.es,info@inycom.es,976 013 300 / 900 922 959,linkedin.com/company/inycom,,,,No HR mailbox found — careers via inycom.es; general info@inycom.es,,,,eInforma/elEconomista; inycom.es; LinkedIn (company),HIGH. Zaragoza tech group (IT/industrial/health); engineers & project staff — relocation potential. 2nd-pass for named HR.,partial,info@inycom.es; marcos.rubio@inycom.es (confirms pattern),"first.last@inycom.es (LeadIQ 84.3%, corroborated by marcos.rubio@) — no named HR contact (UNVERIFIED) [VERIFIED: confirmed 84.3%]"
Certest Biotec,AseBio/Axesor registry + LinkedIn,Biotechnology — in-vitro diagnostics manufacturing (Biotechnology Research),"San Mateo de Gállego (Zaragoza) — Pol. Ind. Río Gállego II, 50840","approx 501-1,000 (LinkedIn 20K followers)",www.certest.es,certest@certest.es,976 520 354,linkedin.com/company/certestbiotec,,,,No HR mailbox found — careers via certest.es; general certest@certest.es,,,,AseBio/Axesor/elEconomista; certest.es; LinkedIn (company),HIGH (healthcare/biotech). Fast-growing Zaragoza-area diagnostics manufacturer; scientific/technical hires — relocation/housing plausible. 2nd-pass for named HR.,partial,certest@certest.es; nfernandes@certest.es (CEO Nelson G. Fernandes); legal@certest.es,finitial+last@certest.es (RocketReach 82.4%) (UNVERIFIED)
BSH Electrodomésticos España (Balay),Registry/Wikipedia + LinkedIn,"Home-appliance manufacturing — white goods (ovens, hobs, dishwashers) — Manufacturing","Montañana, Zaragoza — Avda. de la Industria 49, 50016 (Spain HQ; group HQ Munich)","4,500+ in Spain (BSH); Montañana plant ~1,150 (≈250 R&D + ≈900 factory)",www.bsh-group.com/es,No public general email — careers/Contacto via portal,976 578 000,linkedin.com/company/bsh-electrodomesticos,,,,No HR mailbox found — careers via BSH careers portal,,,,elEconomista/Wikipedia; bsh-group.com; LinkedIn (company),"TOP TARGET. Major Zaragoza manufacturer & R&D centre (4,500+ in Spain); engineers/expats & relocations — strong corporate-housing fit. 2nd-pass for named HR.",partial,comunicacion.corporativa@bshg.com (mail domain bshg.com),first.last@bshg.com (RocketReach 86.1%) (UNVERIFIED) [VERIFIED: confirmed 86.1%]
Chocolates Lacasa (Grupo Lacasa),Registry/directory + web,Food manufacturing — chocolate & confectionery (Food Production),"Utebo (Zaragoza) — Ctra A-68, km 14, 50180","~228 (legal entity, 2026); Grupo Lacasa larger",www.grupo.lacasa.es,lacasa@grupo.lacasa.es,976 462 111,linkedin.com/company/chocolates-lacasa (verify),,,,No HR mailbox found — general lacasa@grupo.lacasa.es,,,,elEconomista/Alimentos Made in Aragón; grupo.lacasa.es,MED. Zaragoza-area food manufacturer; production/seasonal staff. 2nd-pass for named HR.,partial,lacasa@grupo.lacasa.es; lacasa@lacasa.es,finitial+last@lacasa.es (RocketReach 89.6%) (UNVERIFIED) [VERIFIED: finitial+last is primary (RocketReach 89.6%)]
Grupo Agora / La Zaragozana (Ambar),Registry/directory (Alimarket) + web,Beverage manufacturing — brewing (Cervezas Ambar) — Food & Beverage,"Zaragoza — La Zaragozana, S.A.",~500+ (group),www.agoragrupo.com (brand: ambar.com),Contacto via ambar.com/contacto (web form),"976 279 700 (La Zaragozana, verify)",linkedin.com/company/agora-grupo,,,,No HR mailbox — careers via agoragrupo.com / LinkedIn,,,,Alimarket/Cámara Zaragoza; agoragrupo.com; LinkedIn (company),MED-HIGH. Iconic Zaragoza brewer (Grupo Agora) with active expansion & hiring; some relocation. 2nd-pass for named HR.,partial,"jgarciam@agoragp.com (corporate mail domain agoragp.com, not agoragrupo.com)",first.last@agoragp.com (RocketReach ~95%) (UNVERIFIED) [VERIFIED: first.last confirmed 95.3%; RRHH contact Sara Repolles]
Forestalia Renovables,Páginas Amarillas (paginasamarillas.es) + Axesor/eInforma,Renewable-energy developer — wind/solar/biomass (Renewables & Environment),"Zaragoza — C/ Coso 33, 50003 (also Pol. Ind. Argualas)",~214,forestalia.com,contabilidad@forestalia.com (accounting; press/general via forestalia.com/contacto),976 308 449,linkedin.com/company/forestalia (verify),,,,No HR mailbox found — press/general via forestalia.com/contacto,,,,Páginas Amarillas; Axesor/eInforma; forestalia.com,MED-HIGH. Zaragoza renewables developer; project/engineering & site-based staff — relocation potential. 2nd-pass for named HR.,partial,"info@forestalia.com; contabilidad@forestalia.com; rrhh@forestalia.com (HR mailbox, published on Unete page); lopd@forestalia.es",first.last@forestalia.com (RocketReach 40% top) (UNVERIFIED)
Mann+Hummel Ibérica,Páginas Amarillas (paginasamarillas.es) + registry,Automotive filtration manufacturing (MANN+FILTER / WIX / FILTRON) — Manufacturing,"PLA-ZA, Zaragoza — C/ Pertusa 8, 50197 (part of Mann+Hummel, 20,000+ global)","~700 (Iberia, 2025)",www.mann-hummel.com,pedidosia@mann-hummel.com (orders; general via airfiltration.mann-hummel.com/es-es/contacto),976 287 300,linkedin.com/company/mann-hummel,,,,No HR mailbox found — careers via Mann+Hummel portal,,,,Páginas Amarillas; eInforma; mann-hummel.com,HIGH. 700-staff auto-filter manufacturer at PLAZA; engineers/expats & shift staff — strong housing fit. 2nd-pass for named HR.,partial,pedidosia@mann-hummel.com; mhes@mann-hummel.com,Pattern undetermined (no per-person convention confirmed for the Iberica entity)
Grupo Jorge,Registry/directory + web,Food — pork/meat processing & integrated agri-logistics (Food Production),"Zaragoza — Avda. Academia General Militar 52, 50015 (+ Zuera, Pol. El Campillo)",Large meat group (group employs thousands; legal-entity figures vary),www.jorgesl.com,jorgesl@jorgesl.com,976 514 029,linkedin.com/company/grupo-jorge (verify),,,,No HR mailbox found — general jorgesl@jorgesl.com,,,,elEconomista/eInforma; jorgesl.com,MED-HIGH. Large Zaragoza-area meat group with own logistics; production/relocation staff. 2nd-pass for named HR.,partial,jorgesl@jorgesl.com; france@rivasam.com,firstlast@jorgesl.com (RocketReach/LeadIQ ~50%) (UNVERIFIED)
Libelium,Registry/directory (Cámara Zaragoza) + web,IoT technology — sensors & connectivity (Technology / IoT),"Zaragoza — WTCZ, Avda. María Zambrano 31, 50018",SME (founded 2006; ~50-200),www.libelium.com,marketing@libelium.com (site shows 'marketin@'; verify),976 547 492,linkedin.com/company/libelium,,,,No HR mailbox found — general via libelium.com/contact,,,,Cámara Zaragoza/elEconomista; libelium.com,MED. Zaragoza IoT tech SME; engineers. 2nd-pass for named HR.,partial,None found verbatim (form + phone only),"finitial.last@libelium.com (RocketReach 88.2%) (UNVERIFIED) [CORRECTED: pattern is first.lastinitial@libelium.com (e.g. jane.d@), not finitial.last]"
Terminal Marítima de Zaragoza (tmZ),Páginas Amarillas (paginasamarillas.es) + Aliaragón directory,Intermodal logistics — inland maritime/container terminal (Transportation/Logistics),"Zaragoza — Mercazaragoza, Ctra de Cogullada 65, 50014",Medium (terminal operator),tmzaragoza.eu,tmzaragoza@tmzaragoza.com,976 479 658,linkedin.com/company/tmzaragoza,,,,No HR mailbox found — general tmzaragoza@tmzaragoza.com,,,,Páginas Amarillas; Aliaragón; tmzaragoza.eu; LinkedIn (company),MED-HIGH. Key Aragón intermodal logistics hub; ops staff. 2nd-pass for named HR.,partial,tmzaragoza@tmzaragoza.com,Pattern undetermined (generic mailbox only)
IMESA (Industria y Montajes Eléctricos S.A.),Páginas Amarillas (paginasamarillas.es),Industrial & electrical assembly / engineering contractor,Zaragoza,,,,,,,,,,,,,"Páginas Amarillas (ingeniería, Zaragoza)",MED. Industrial/electrical contractor with field crews — possible site relocation. Name from PA; website/contact pending 2nd-pass.,list-only,imesa@imesazaragoza.es (official domain imesazaragoza.es); audiovisuales.imesa@gmail.com,Pattern undetermined
Zeleron,Páginas Amarillas (paginasamarillas.es),Industrial automation engineering,Zaragoza,,zeleron.com (verify),,,,,,,,,,,"Páginas Amarillas (ingeniería, Zaragoza)",MED. Industrial automation engineering SME; technical staff. Name from PA; contact pending 2nd-pass.,list-only,"info@zeleron.es (official domain zeleron.es, not .com); administracion@zeleron.es",Pattern undetermined
"It Now, S.A.",Páginas Amarillas (paginasamarillas.es),IT services / systems integration,Zaragoza,,,,,,,,,,,,,"Páginas Amarillas (informática, Zaragoza)",MED. IT services firm; technical staff. Name from PA; website/contact pending 2nd-pass.,list-only,"None found verbatim (IT NOW = Caixabank/IBM JV, HQ Barcelona, itnow.es; Zaragoza offices phone-only)",Pattern undetermined — verify this is the intended Zaragoza target before outreach
Disaragón,Páginas Amarillas (paginasamarillas.es),Distribution & logistics,Zaragoza,,,,,,,,,,,,,"Páginas Amarillas (logística, Zaragoza)",MED. Distribution/logistics operator; warehouse/ops staff. Name from PA; contact pending 2nd-pass.,list-only,comercial@disaragon.es (official site disaragon.es),Pattern undetermined (generic mailbox only)
"Laftur, S.A.",Páginas Amarillas (paginasamarillas.es),Logistics / transport,Zaragoza,,,,,,,,,,,,,"Páginas Amarillas (logística, Zaragoza)",MED. Logistics/transport operator. Name from PA; contact pending 2nd-pass.,list-only,victor.martinez@tsbzaragoza.com; administracion@tsbzaragoza.com (Laftur now trades as TSB Zaragoza); victor.martinez@tsbzaragoza.com; administracion@tsbzaragoza.com (med-confidence),first.last@tsbzaragoza.com (basis victor.martinez@) (UNVERIFIED)
"Ibersertrans, S.L.",Páginas Amarillas (paginasamarillas.es),Road transport / logistics,Zaragoza,,,,,,,,,,,,,"Páginas Amarillas (transporte, Zaragoza)",MED. Road transport operator — drivers/ops. Name from PA; contact pending 2nd-pass.,list-only,oficinas.ibersertrans@gmail.com (official site),Pattern undetermined (generic Gmail mailbox)
Arkhe Servicios Logísticos,Páginas Amarillas (paginasamarillas.es),Logistics services,Zaragoza,,,,,,,,,,,,,"Páginas Amarillas (logística, Zaragoza)",MED. Logistics-services SME. Name from PA; contact pending 2nd-pass.,list-only,info@arkhe2012.es (domain arkhe2012.es),first.last@arkhe2012.es (RocketReach convention) (UNVERIFIED)
"In Time Express Europe, S.L.",Páginas Amarillas (paginasamarillas.es),Express transport / logistics,Zaragoza,,,,,,,,,,,,,"Páginas Amarillas (transporte, Zaragoza)",MED. Express logistics operator — shift/ops staff. Name from PA; contact pending 2nd-pass.,list-only,info@intimetransport.eu (company states only @intimetransport.eu used),first@intimetransport.eu (UNVERIFIED)
"Cirac Logística, S.L.",Páginas Amarillas (paginasamarillas.es),Logistics,Zaragoza,,,,,,,,,,,,,"Páginas Amarillas (logística, Zaragoza)",MED. Logistics SME. Name from PA; contact pending 2nd-pass.,list-only,info@ciraclogistica.es,first@ciraclogistica.es (UNVERIFIED)
Maetel,Páginas Amarillas (paginasamarillas.es),Engineering / industrial services,Zaragoza,,,,,,,,,,,,,"Páginas Amarillas (ingeniería, Zaragoza)",MED. Engineering firm; technical staff. Name from PA; contact pending 2nd-pass.,list-only,maetel@maetel.com; protecciondedatos@maetel.com; personal@maetel.com (CV/empleo box),"first.last@maetel.com — no verbatim personal address, generic only (UNVERIFIED)"
Lecitrailer SA,elEconomista ranking (ranking-empresas.eleconomista.es) + web,"Semi-trailer / trailer manufacturing (CNAE 2920 - vehicle bodywork, trailers & semi-trailers)","Camino de los Huertos s/n, Apdo 100, 50620 Casetas (Zaragoza), Spain — group HQ same site; after-sales bases in Barcelona, Valencia, Sevilla, Madrid, Lyon (FR), Mangualde (PT)","~430 employees Lecitrailer SA (eInforma 2025); Grupo Lecitrailer 1,000+ (company web)",https://lecitrailer.es,"lt@lecitrailer.es (general inbox, einforma/web)",+34 976 462 121,https://www.linkedin.com/company/lecitrailer-s-a-,Not found,Not found,Not found,"""Portal empleo"" / careers section on lecitrailer.es (web form); general inbox lt@lecitrailer.es",rrhh@lecitrailer.es (INFERRED — local-part guess from domain lecitrailer.es; only verbatim address found is lt@lecitrailer.es; treat as unconfirmed) — Pattern undetermined for personal names,Fernando Leciñena (Leciñena family ownership/leadership; exact title unconfirmed),Not found,lecitrailer.es/es/quienes-somos; lecitrailer.es/es/grupo-lecitrailer; einforma.com/informacion-empresa/lecitrailer; empresite.eleconomista.es/LECITRAILER.html,"Large industrial employer with continuous inbound relocated/project staff and 1,000+ group workforce across Casetas site; strong fit for medium-stay corporate housing — HIGH",enriched,lt@lecitrailer.es,"fernando.lecinena@lecitrailer.es / flecinena@lecitrailer.es — first.last or finitial+last per RocketReach masks (UNVERIFIED) [CORRECTED: pattern is firstlast -> fernandolecinena@lecitrailer.es, not first.last/flecinena@]"
HMY Yudigar (HMY Yudigar Equipamiento SLU / Yudigar SL),elEconomista ranking (ranking-empresas.eleconomista.es) + web,Retail store equipment & shopfitting manufacturing/installation,"Pol. Industrial ""La Veguilla"" s/n, 50400 Cariñena, Zaragoza, Spain (registered office & main plant — in Cariñena, NOT Cuarte de Huerva); part of HMY Group (intl. HQ France)","278 employees (eInforma/Axesor, 12/03/2026)",https://hmy-group.com (corporate); yudigar.com (Spanish site),"comercial@yudigar.com (general/commercial inbox, einforma/web)",+34 976 793 040,https://es.linkedin.com/company/hmy-group (group),Not found,Not found,Not found,"InfoJobs profile (yudigar.ofertas-trabajo.infojobs.net) + recruitment ref seleccion@hmy-group.com (from 2021 posting, may be outdated); general inbox comercial@yudigar.com",rrhh@yudigar.com (INFERRED — local-part guess; verbatim addresses found are comercial@yudigar.com and seleccion@hmy-group.com) — Pattern undetermined for personal names,Not found,Not found,einforma.com/informacion-empresa/yudigar-gs; axesor.es/Informes-Empresas/488811/HMY_YUDIGAR_EQUIPAMIENTO_SL.html; hmy-group.com/contact; carinena.es/empleo-yudigar-turno-fin-de-semana,"Sizable Cariñena (Zaragoza prov.) manufacturer with ongoing recruitment and project/engineering staff; medium-stay housing fit, though Cariñena is ~50 km from Zaragoza city — MED-HIGH",enriched,comercial@yudigar.com; seleccion@hmy-group.com,first.last@hmy-group.com (ContactOut) (UNVERIFIED) [VERIFIED: first.last@hmy-group.com ~99%; now part of ITAB]
Novapet SA,elEconomista ranking (ranking-empresas.eleconomista.es) + web,PET resin manufacturing / plastic polymers (Grupo SAMCA),"Commercial office: Paseo de la Independencia 21, 3º, 50001 Zaragoza, Spain; production plants: Barbastro (Huesca) and Fuenlabrada (Madrid); group HQ Grupo SAMCA, Zaragoza",~280 employees (company web; group/registry figures vary 30–350 by entity/period),https://novapet.com,Not found verbatim (Zaragoza office phone +34 976 21 61 29; tech center cte.barbastro@samca.com),+34 976 21 61 29 (Zaragoza office),https://es.linkedin.com/company/novapet-pet,Not found,Not found,Not found,"Grupo SAMCA careers portal samca.com/empleo (and gruposamca.com/empleo); SAMCA InfoJobs (samca.ofertas-trabajo.infojobs.net); ""Work with us"" form on novapet.com",rrhh@novapet.com / seleccion@samca.com (INFERRED — domain guesses; only verbatim address found is cte.barbastro@samca.com) — Pattern undetermined for personal names,"Owned by Grupo SAMCA (~4,000 employees; diversified) — leadership at group level, no individual confirmed",Not found,novapet.com/en/contact; novapet.com/en/human-team; einforma.com/informacion-empresa/novapet; gruposamca.com; samca.com/empleo,Has central Zaragoza-city office plus SAMCA group (note: Grupo SAMCA already listed separately); SAMCA's diversified Aragón presence drives relocations — plants outside Zaragoza city (Barbastro/Fuenlabrada) — MED-HIGH,enriched,novapet@samca.com; cte.barbastro@samca.com,first.last@samca.com (SAMCA group convention) (UNVERIFIED) [VERIFIED: staff use @samca.com not @novapet.com]
Megasider Zaragoza SAU,elEconomista ranking (ranking-empresas.eleconomista.es) + web,"Steel / siderurgy — non-integrated steel, commercial & structural profiles (CNAE 2410); Grupo Megasa","Avenida José López Soriano 100 (antigua Ctra. Torrecilla de Valmadrid km 1,95), Zaragoza, Spain; group HQ Grupo Megasa (Galicia)",272 employees (eInforma/registry 2026),http://www.megasa.com,Not found verbatim,+34 976 466 171,Not found (Grupo Megasa LinkedIn exists; dedicated Megasider page not confirmed),Eduardo Piñera (gerente / plant manager per Cámara de Zaragoza source — verify),Gerente (Megasider Zaragoza),Not found,careers/HR portal not found; general switchboard +34 976 466 171; corporate site megasa.com,rrhh@megasa.com (INFERRED — domain guess from megasa.com; no verbatim email found) — Pattern undetermined for personal names,Eduardo Piñera (Megasider gerente); group leadership at Grupo Megasa,Not found,einforma.com/informacion-empresa/arcelormittal-zaragoza; iberinform.es/empresa/340504/megasider-zaragoza; axesor.es/Informes-Empresas/146169/MEGASIDER_ZARAGOZA_SA.html; camarazaragoza.com (Megasider club empresa líder),"Large steel plant within Zaragoza city limits, 272 staff, capital-intensive with engineering/project personnel and parent in Galicia (likely relocations to Zaragoza) — strong medium-stay fit — TOP TARGET",partial,info@megasa.com; batienza@megasa.es (eInforma),"eduardo.pinera@megasa.com — first.last (corporate megasa.com, n->n) (UNVERIFIED) [CORRECTED: domain is megasa.es, finitial+last -> epinera@megasa.es (batienza@megasa.es confirmed)]"
Carreras Grupo Logístico SA,elEconomista ranking (ranking-empresas.eleconomista.es) + web,"Logistics / transport, warehousing, distribution, copacking","Calle Messina 2, Plataforma Logística PLAZA, 50197 Zaragoza (registered office & operational HQ; Registro Mercantil de Zaragoza); founded 1933/registered 1968","~1,615 employees (eInforma/Axesor 2025); company states 2,000+ across group",https://www.grupocarreras.com,"Not found (web contact form; no general inbox published verbatim — ""Contact an expert"" form)",+34 976 470 410,https://es.linkedin.com/company/grupo-carreras-logistica,Not found,Not found,Not found,"Careers: ""Trabaja con nosotros"" on grupocarreras.com + Grupo Carreras InfoJobs (grupocarreras.ofertas-trabajo.infojobs.net) + Indeed listings","INFERRED nombre.apellido@grupocarreras.com (basis: RocketReach reports first.last format ~73%; sample verbatim addresses alberto.borque@grupocarreras.com, cial@grupocarreras.com) — no HR-specific verbatim address found",,,grupocarreras.com; es.linkedin.com/company/grupo-carreras-logistica; einforma.com; axesor.es; infojobs,Major logistics employer at PLAZA with international traffic/operations roles; recurring relocated/project staff likely — corporate-housing fit strong. HIGH,enriched,alberto.borque@grupocarreras.com; cial@grupocarreras.com; admoncial@listas.grupocarreras.com,"first.last@grupocarreras.com (RocketReach 72.7%, e.g. alberto.borque@) (UNVERIFIED) [VERIFIED: first.last confirmed (alberto.borque@)]"
Adidas España SAU,elEconomista ranking (ranking-empresas.eleconomista.es) + web,Sportswear/footwear wholesale distribution; Iberia HQ + logistics,"Iberia HQ: Avenida María Zambrano 31, WTC Zaragoza, Torre Este, 50018 Zaragoza (400+ staff manage Spain+Portugal); logistics centre in Caspe (Zaragoza prov.); group HQ Herzogenaurach, Germany","~2,354 employees España SAU (eInforma/Informa 2024); 400+ at Zaragoza HQ",https://www.adidas.es (corporate careers: careers.adidas-group.com),Not found,+34 976 710 100,https://es.linkedin.com/company/adidas-espana-s.a.u.,Not found,Not found,Not found,Careers portal careers.adidas-group.com/locations/hubs/zaragoza + adidas InfoJobs (adidas.ofertas-trabajo.infojobs.net),"Pattern undetermined (global firm; corporate recruiting via portal, no Spain HR inbox published)",,,einforma.com; informa.es; paginasamarillas.es; careers.adidas-group.com; es.linkedin.com,Iberia HQ in Zaragoza with 400+ professionals + relocations/expat moves into Zaragoza; strong medium-stay relocation demand. TOP TARGET,enriched,comunicacion.spain@adidas.com (corporate domain adidas.com); comunicacion.spain@adidas.com,first.last@adidas.com (UNVERIFIED)
Alliance Healthcare España SA,elEconomista ranking (ranking-empresas.eleconomista.es) + web,Pharmaceutical & healthcare wholesale distribution,"Zaragoza branch: Polígono Industrial Sector 4, 50830 Villanueva de Gállego (Zaragoza prov.); CIF A50004324; part of Cencora/AmerisourceBergen","1,100+ professionals (company/web, Spain-wide); Zaragoza is one branch of national network",https://www.alliance-healthcare.es,"correo@alliance-healthcare.es (verbatim, eInforma/Iberinform)",900 533 721,https://www.linkedin.com/company/alliance-healthcare-espa-a,Not found,Not found,Not found,Careers page alliance-healthcare.es/careers + LinkedIn Jobs (Alliance Healthcare España),Pattern undetermined (no HR-specific verbatim email; general correo@alliance-healthcare.es published),,,alliance-healthcare.com/our-branches; iberinform.es; einforma.es; linkedin.com,"Regional distribution branch near Zaragoza; smaller local headcount, occasional managerial relocations — moderate fit. MED",partial,correo@alliance-healthcare.es; proveedores@alliance-healthcare.es,first.last@alliance-healthcare.es — generic only observed (UNVERIFIED)
Proclinic SAU,elEconomista ranking (ranking-empresas.eleconomista.es) + web,Dental supplies / medical-dental devices wholesale distribution,"C/ Palermo 9, Plataforma Logística PLAZA, 50197 Zaragoza (HQ); presence in 32 countries; registered 1983",~292 employees (eInforma/Empresite 2024),https://www.proclinic.es,"proclinic@proclinic.es (verbatim, search-indexed); lopd@proclinic.es (DPO)",+34 932 649 666,https://es.linkedin.com/company/proclinicgroup,Not found,Not found,Not found,"CV portal proclinic.es/tienda/cv + Proclinic InfoJobs (proclinic.ofertas-trabajo.infojobs.net) + Indeed/Glassdoor; recent ""Administrativo/a RRHH"" role for Zaragoza offices",INFERRED nombre.apellido@proclinic.es (basis: general inbox proclinic@proclinic.es and lopd@proclinic.es confirm @proclinic.es domain; name-pattern not verbatim-confirmed),(mid-size — leadership not confirmed),,proclinic.es/tienda/contacto; empresite.eleconomista.es; einforma.com; es.linkedin.com/company/proclinicgroup; infojobs,"Mid-size HQ at PLAZA, international footprint, active hiring incl. RRHH; medium-stay relocations plausible. MED-HIGH",enriched,proclinic@proclinic.es; lopd@proclinic.es,Pattern undetermined (no named contact)
Novaltia S.Coop.,elEconomista ranking (ranking-empresas.eleconomista.es) + web,Pharmaceutical distribution cooperative (full-range medicines/parapharmacy),"Carretera Autovía de Huesca s/n, 50015 Zaragoza (HQ); centres in Calatayud, Bizkaia, Vitoria, Pamplona; ~1,000+ member pharmacies (Aragón & País Vasco)","~150–160 employees (eInforma 2026 / website ""más de 160"")",https://www.novaltia.es,"novaltia@novaltia.es (verbatim, official site); legacy aragofar@aragofar.es (eInforma)",+34 976 459 400,https://es.linkedin.com/company/novaltia-sociedad-cooperativa,Not found,Not found,Not found,No careers portal found; general inbox novaltia@novaltia.es,INFERRED nombre.apellido@novaltia.es (basis: general inbox confirms @novaltia.es domain; HR name-pattern not verbatim-confirmed),Miguel Ángel Artal Lerín (Presidente / Consejo Rector); Fernando Castillo (Director General); M. Carmen Martínez Tirao (Subdirectora General),INFERRED nombre.apellido@novaltia.es — Pattern undetermined (no verbatim leadership email found),novaltia.es/conocenos; axesor.es; phmk.es; democrata.es; es.linkedin.com,"Regional pharma cooperative HQ in Zaragoza; modest headcount, mostly local/member-based staff, limited relocation need. MED-LOW",enriched,novaltia@novaltia.es,miguelangel.artal@novaltia.es / martal@novaltia.es (President M.A. Artal; no published pattern) (UNVERIFIED); Castillo & Martinez unconfirmed
Valeo Térmico SAU,elEconomista ranking (ranking-empresas.eleconomista.es) + web,"Automotive — thermal systems / engine cooling, HVAC, EGR coolers (manufacturing)","Zaragoza plant: Carretera/Autovía de Logroño, km 8.9, 50011 Zaragoza, Spain. Group HQ: Valeo SE, Paris, France","1,001+ employees Spain entity (eInforma/Empresite registry; ""más de 1.000""); group ~110,000 (Valeo)",https://www.valeo.com,Not found (no general inbox published; phone preferred),+34 976 248 700,https://es.linkedin.com/company/valeo-termico-sa,Not found,Not found,,"Careers via Valeo group portal (jobs.valeo.com) + InfoJobs/Indeed/LinkedIn listings for ""Valeo Térmico Zaragoza""; an HR-team hiring post was observed. No general/HR inbox published verbatim.","nombre.apellido@valeo.com — INFERRED (pattern first.last@valeo.com is Valeo group standard; basis: group email convention, no Zaragoza address published verbatim). Unverified.",,,empresite.eleconomista.es/VALEO-TERMICO.html; Kompass; CAAR Aragón; valeo.com; LinkedIn; InfoJobs/Indeed,Large auto-thermal plant in Zaragoza with engineering/managerial roles and ties to ITAINNOVA; recurring relocated/project engineers and international transfers make it a strong corporate-housing fit. HIGH,partial,None found verbatim,first.last@valeo.com (RocketReach 97.9%) (UNVERIFIED) [VERIFIED: first.last@valeo.com ~98%]
Fujikura Automotive Europe SAU,elEconomista ranking (ranking-empresas.eleconomista.es) + web,"Automotive — wire/wiring harnesses, seat sensors, plastic & electronic components (R&D + manufacturing HQ)","HQ/offices: Avda. de Ranillas 3, Edificio Dinamiza 3 A, planta 1ª, 50018 Zaragoza, Spain. Group: Fujikura Ltd., Tokyo, Japan","European division ""more than 10,000 professionals"" (company site, group-wide); local Zaragoza HQ office ~199 (PitchBook)",https://www.fujikura-automotive.com,Not found (general inbox not published verbatim),+34 976 729 800,https://www.linkedin.com/company/fujikura-automotive-europe,Not found (a HR Specialist appears on LinkedIn but not used as a verified business contact),Not found,,"Confirmed recruitment route: careers portal careers.eu.fujikura.com/jobs.php and CV submission (linked from official ""Work With Us"" page). No general/HR email published.","nombre.apellido@fujikura-automotive.com — INFERRED (pattern first.last; basis: standard corporate convention, no verbatim address found). Unverified. — alt domain @eu.fujikura.com also in use.",,,fujikura-automotive.com (Work With Us); europe.fujikura.com careers; PitchBook; LinkedIn; CAAR Aragón,"Zaragoza is the European HQ with strongly international engineering staff and international-mobility hiring (multilingual engineers), making relocation/expat housing demand likely. HIGH",partial,None found verbatim; adolfo.bernad@eu.fujikura.com; francisco.espasa@eu.fujikura.com,"finitial+last@fujikura-automotive.com (RocketReach 100%) (UNVERIFIED) [CORRECTED: first.last@eu.fujikura.com (adolfo.bernad@, francisco.espasa@ confirmed)]"
Adient Seating Spain SL,elEconomista ranking (ranking-empresas.eleconomista.es) + web,Automotive — seating manufacturing (JIT),"Zaragoza-province plants: Pedrola — Calle General Motors 30, 50690 Pedrola (registered office); Alagón — Carrera de Caballos 53, 50630 Alagón; plus Calatorao. Group HQ: Adient plc, Plymouth (Michigan, USA) / Dublin (Ireland)","Registry figures vary (Pedrola entity ""más de 500"" / avg ~48 per some directories — likely per-site); Adient group ~70,000-75,000 globally",https://www.adient.com,Not found (general inbox not published verbatim),+34 976 616 000 (Alagón),https://www.linkedin.com/company/adient (group; no separate verified Spain-entity page),Not found,Not found,,Confirmed route: InfoJobs employer page (infojobs.net/adient-seating-spain-s.l.) + Adient global careers + LinkedIn jobs. No general/HR email published verbatim.,nombre.apellido@adient.com — INFERRED (pattern first.last; basis: Adient group standard domain; no verbatim Spain address found). Unverified.,,,Iberinform; Dun & Bradstreet; adient.com (Alagón location); CAAR Aragón; InfoJobs; LinkedIn,Multi-plant automotive seating operation in Zaragoza province tied to the GM/Stellantis Figueruelas cluster; project ramp-ups and engineering transfers create medium-stay housing need. MED-HIGH,partial,None found verbatim; inma.ruiz@adient.com,first.last@adient.com (RocketReach 99.9%) (UNVERIFIED) [VERIFIED: first.last@adient.com confirmed (inma.ruiz@)]
